rank	path	liked_count	price	published_at	body_updated_at
134	ai_cat_navi/claude-code-auto-test	0	1500	2026-09-03T08:19:11.012+09:00	2026-09-03T08:19:13.267+09:00
135	masayan1126/claude-code-keyboard-shortcuts	2	300	2026-05-13T20:32:50.101+09:00	2026-05-13T20:32:56.657+09:00
136	dev_to_earn/a2901fb88d4fa4	1	300	2026-04-27T00:54:57.388+09:00	2026-04-30T17:56:55.298+09:00
137	masayan1126/claude-code-hooks-basic	5	300	2026-04-25T16:23:53.098+09:00	2026-04-06T12:07:15.953+09:00
138	luoxi/agent-harness-basic	3	0	2026-04-25T02:02:19.473+09:00	2026-04-25T01:06:00.584+09:00
139	sin9_ha/claude-code-workflow	2	0	2026-05-20T12:13:57.033+09:00	2026-06-28T09:57:57.781+09:00
140	keiichi_okamoto/177c74dcba5738	1	0	2026-05-03T08:33:28.940+09:00	2026-05-21T20:34:29.088+09:00
141	seeda_yuto/claude-dotfiles-impact-order	1	1500	2026-04-23T15:42:19.513+09:00	2026-04-23T15:34:31.517+09:00
142	mrspockn/llm-wiki-second-brain	0	500	2026-04-22T19:01:45.073+09:00	2026-05-07T13:20:59.722+09:00
143	masayan1126/anthropic-dev-workflow	0	300	2026-04-18T13:35:09.242+09:00	2026-04-06T12:06:55.586+09:00
144	engineer__117/ai-engineering-practice	2	1000	2026-04-17T07:15:03.292+09:00	2026-04-23T20:57:16.335+09:00
145	masayan1126/claude-code-hooks-intro	1	300	2026-04-18T18:35:45.538+09:00	2026-04-18T18:35:51.116+09:00
146	luoxi/agent-harness-advanced	0	200	2026-04-25T02:02:18.773+09:00	2026-04-25T01:05:58.265+09:00
147	toki_mwc/claude-code-ai-ops-guide	3	1500	2026-04-06T19:54:50.292+09:00	2026-05-14T19:19:29.018+09:00
148	masayan1126/claude-code-web-guide	3	300	2026-04-11T11:22:48.397+09:00	2026-04-06T12:07:31.360+09:00
149	wireharbor/claudemd-guide	0	1500	2026-04-05T14:28:25.840+09:00	2026-04-14T18:00:20.671+09:00
150	masayan1126/claude-code-initial-settings	7	300	2026-04-02T17:41:59.924+09:00	2026-04-04T15:30:14.525+09:00
151	tottoko_hamu/leading-ai-agents-without-code	4	900	2026-04-26T18:44:24.044+09:00	2026-07-15T21:56:57.186+09:00
