rank	path	bestseller	price	liked_count	published_at	suspending
3188	sosa/50a6f3f2ea5f46	False	0	2	2023-02-14T17:18:33.266+09:00	False
3189	mebiusbox/d7e6b96da51ed8	False	0	141	2023-02-14T01:31:22.495+09:00	False
3190	wok/0003_vc-helper-v_1_5	False	0	2	2023-02-13T02:57:01.815+09:00	False
3191	wok/0002_vc-helper-v_1_3	False	0	1	2023-02-13T02:37:11.149+09:00	False
3192	riscait/flutter-riverpod-practical-introduction-archive	False	0	50	2023-02-12T10:31:40.898+09:00	False
3193	knaka0209/b5e25eac05b2c5	False	0	17	2023-02-11T19:35:38.472+09:00	False
3194	hathle/next-supabase-chat-book	False	900	23	2023-02-11T11:45:55.116+09:00	False
3195	hideki_climax/3ea0662b154912	True	3900	65	2023-02-09T16:55:10.635+09:00	False
3196	karibash/c0b2c4f9e06d1a	False	0	21	2023-02-06T15:22:11.429+09:00	False
3197	array/5efdb438cf8be3	True	200	148	2023-02-05T11:56:56.084+09:00	False
3198	hathle/next-supabase-image-book	False	900	6	2023-02-05T10:12:17.738+09:00	False
3199	abcb2/analyze-fosite	False	0	4	2023-02-03T15:27:35.515+09:00	False
3200	web_tanuki/c50d2c8a44aa9e	False	1000	15	2023-02-03T02:20:14.169+09:00	False
3201	alchemystdudent/fb780c706e21f1	False	0	0	2023-01-31T19:15:33.455+09:00	False
3202	cxj/07def04506182d	False	0	210	2023-01-30T14:53:25.236+09:00	False
3203	sosa/ce3eb17bc0dbf6	False	0	2	2023-01-30T12:52:06.110+09:00	False
3204	777kkk/d4949816cf0c11	False	0	49	2023-01-30T09:13:54.994+09:00	False
3205	pppeiweb/c088cd307887e9	False	400	1	2023-01-29T23:13:41.098+09:00	False
3206	garlicsteak/8523f24c9c4daa	False	400	0	2023-01-29T22:29:43.507+09:00	False
3207	hathle/next-supabase-blog-book	True	1500	60	2023-01-28T11:28:28.980+09:00	False
3208	terrierscript/2023-01-typed-zod	True	200	680	2023-01-26T23:02:29.628+09:00	False
3209	okuzawats/android-clean-architecture	False	0	11	2023-01-24T20:09:56.913+09:00	False
3210	mashiike/f51a51997c2f0e	False	500	5	2023-01-23T14:22:56.117+09:00	False
3211	alchemystdudent/e2c58ed408da66	False	0	0	2023-01-23T00:41:21.672+09:00	False
3212	hiehie/5ba9936cde6f2b	False	0	13	2023-01-22T00:20:49.773+09:00	False
3213	farstep/dafb5752aa5ec5	True	1200	98	2023-01-21T11:42:25.536+09:00	False
3214	mikakane/nestjs-basic	False	0	6	2023-01-16T22:11:37.998+09:00	False
3215	sosa/fc158cb8eb6bc8	False	0	1	2023-01-16T14:09:26.301+09:00	False
3216	hideoamezawa/study_testcode	False	0	16	2023-01-14T22:33:18.500+09:00	False
3217	alchemystdudent/8e1e5b3e0e97ff	False	0	2	2023-01-13T22:13:20.029+09:00	False
3218	mutech/856a3101d080a1	False	0	5	2023-01-13T22:03:54.940+09:00	False
3219	yushimatenjin/5877730dbc05a7	False	0	5	2023-01-12T20:04:32.643+09:00	False
3220	sosa/5108156a051f5c	False	0	1	2023-01-12T18:18:21.869+09:00	False
3221	fkumnk/2f83061e36c18d	False	1000	10	2023-01-10T22:21:18.723+09:00	False
3222	sa2knight/storybook-7-with-vue-3	False	0	233	2023-01-10T07:33:06.746+09:00	False
3223	muzudho/6dfb35f746281f	False	0	0	2023-01-09T23:37:21.694+09:00	False
3224	3380san/3b907c4d785e9a	False	1000	4	2023-01-09T22:48:09.608+09:00	False
3225	toranoko114/c087933ac982a3	False	500	0	2023-01-09T14:23:32.621+09:00	False
3226	naa0yama/python-boilerplate	False	0	38	2023-01-09T13:58:32.599+09:00	False
